school,specialization
yen bai college,[]
bac kan college,[]
ben tre college,[]
binh dinh college,['hoc het cap 3']
binh phuoc college,[]
can tho college,[]
ca mau community college,[]
hanoi community college,[]
hau giang community college,[]
hung yen community college,[]
lai chau community college,[]
soc trang community college,[]
dalat college,[]
ngo gia tu college bac giang,[]
son la college,[]
vinh long college,[]
vinh phuc college,[]
dai viet saigon college,[]
dien bien medical college,[]
lang son medical college,[]
phu tho medical college,[]
quang ninh medical college,[]
son la medical college,[]
thai nguyen medical college,[]
bac ninh medical college,[]
bach mai medical college,[]
dak lak medical college,[]
dang van ngu medical college,[]
ha dong medical college,[]
ha nam medical college,[]
hanoi medical college,[]
hai duong medical college,[]
hai phong medical college,[]
hung yen medical college,[]
lam dong medical college,[]
ninh binh medical college,[]
thai binh medical college,[]
hop luc college medicine and pharmacy,[]
ha tinh medical college,[]
quang tri medical college,[]
hue medical college,[]
quang binh medical college,[]
thanh hoa medical college,[]
binh dinh medical college,[]
dang thuy tram medical college,[]
khanh hoa medical college,[]
phu yen medical college,[]
quang nam medical college,[]
binh duong medical college,[]
dong nai medical college,[]
bac lieu medical college,[]
ca mau medical college,[]
can tho medical college,[]
dong thap medical college,[]
kien giang medical college,[]
tien giang medical college,[]
tra vinh medical college,[]
college mechanical engineering and metallurgy,[]
college technology and industrial economics,[]
thai nguyen industrial college,[]
college food industry,[]
college industry and construction,[]
viet duc industrial college,[]
thai nguyen college economics and finance,[]
dien bien college economics and technology,[]
phu tho college economics and technology,[]
industrial technical college,[]
northeast agriculture and forestry college,[]
thai nguyen college commerce and tourism,[]
ha long college culture arts and tourism,[]
northwest college culture and arts,[]
viet bac college culture and arts,[]
ha tay community college,[]
hai phong community college,[]
hanoi college technology and economics,[]
viettronics college technology,[]
hung yen industrial college,[]
nam dinh industrial college,[]
college industry and commerce,[]
hanoi college electronics and refrigeration,[]
hanoi tourism college,['chuyen nganh']
hai duong central college pharmacy,[]
maritime college i,[]
college economics technical trade,[]
central college economics and technology,[]
vinh phuc college economics and technology,[]
hanoi college industrial economics,[]
college economics and food technology,[]
college economics engineering and fisheries,[]
vietnam dance college,[]
hanoi college arts,[]
northern college agriculture and rural development,[]
college radio and television i,[]
college statistics,[]
college information and communications,[]
hanoi college commerce and tourism,[]
northern water resources college,[]
television college,[]
thai binh college culture and arts,[]
nam dinh college culture arts and tourism,[]
college urban construction,[]
nam dinh construction college,[]
construction college no 1,[]
hue industrial college,['business administrator']
hue transport college,[]
central college transport iv,[]
central law college,[]
college economics technology industry and trade,[]
quang binh industrial and agricultural technical college,[]
thanh hoa agricultural college,[]
nguyen du college,[]
thanh hoa college physical education and sports,[]
nghe an college culture and arts,[]
binh thuan college,[]
central college technology economics and irrigation,[]
central college industry and trade,[]
central electri college,[]
central college transport v,[]
da nang college economics and planning,['chuyen nganh']
quy nhon college engineering and technology,[]
college food and foodstuffs,[]
quang nam college,[]
commercial colleges,[]
da nang college culture and arts,[]
dak nong community college,[]
bao loc college technology and economics,[]
dak lak college culture and arts,[]
kon tum college,[]
saigon south polytechnic college,[]
thu duc college technology,[]
college rubber industry,[]
hcm college industry and trade,"['industrial electrical engineering', 'banking & finance']"
hcm electri college,[]
hcm college transport,[]
central college transport 3,[]
central college transport vi,[]
hcm college economics and technology,[]
college foreign trade,[]
vinatex college economics and technology,[]
hcm college economics,"['international bussiness', 'business administration', 'chuyen nganh']"
cao thang technical college,"['quan tri mang may tinh', 'co khi che tao', 'co khi dong luc']"
ba ria vung tau college engineering and technology,[]
ly tu trong college hcm,[]
dong nai college decorative arts,['chuyen nganh']
college radio and television 2,[]
college statistics 2,[]
hcm college culture and arts,[]
hcm college construction,[]
southern college mechanical and electrical engineering and agriculture,[]
dong thap community college,[]
kien giang college,[]
bac lieu college economics and technology,[]
can tho college economics and technology,[]
southern agricultural college,[]
can tho college culture and arts,[]
quang tri technical college,[]
asean college,[]
au lac hue college,[]
da nang polytechnic college,['quan tri kinh doanh']
hung yen polytechnic college,[]
bach viet college,"['english business', 'cntt']"
semi public college technology and business administration,[]
bac ha college technology,[]
hanoi college technology,[]
hcm college information technology,[]
sonadezi college technology and management,['manager']
hanoi college technology and trade,[]
dai viet college hanoi,[]
dai viet college da nang,[]
hanoi college pharmacy,[]
hoan chau college,[]
dong du college economics and technology da nang,[]
hanoi college economics and technology,[]
bach khoa college engineering and technology,[]
van xuan college engineering and technology,[]
lac viet college da nang,[]
southern college,[]
vietnam japan college foreign languages and technology,[]
phuong dong college da nang,[]
phuong dong college quang nam,[]
quang ngai college,[]
btec fpt international college,[]
pegasus international college,[]
tam tri college,[]
duc tri private college da nang,[]
saigon college culture arts and tourism,['quan tri dich vu du lich va lu hanh']
far eastern college,[]
vietnamese english college,[]
vietnamese american college,"['hotel, restaurant and travel management', 'ke toan doanh nghiep']"
hcm college medicine and pharmacy,[]
hop luc college medicine and pharmacy thanh hoa,[]
pasteur college medicine and pharmacy hanoi,[]
pasteur college medicine and pharmacy hcm,[]
pasteur yen bai college medicine and pharmacy,[]
phu tho college medicine and pharmacy,[]
saigon college medicine and pharmacy,[]
pham ngoc thach medical college,[]
hanoi college electrical engineering and food technology,[]
northern electri college,[]
railway college,[]
central college transport i,[]
medical equipment technical college,[]
security and technology vocational college,[]
hanoi polytechnic vocational college,[]
bach khoa vocational college,[]
hanoi electromechanical vocational college,[]
hanoi high tech vocational college,[]
hanoi vocational college technology and economics,[]
hanoi industrial vocational college,[]
hung vuong vocational college,[]
hanoi vocational college business and technology,[]
simco song da vocational college engineering technology economics,[]
vocational college engineering and technology,[]
vietnam vocational college fine arts and technology,[]
hanoi technical and professional vocational college,[]
long bien vocational college,[]
nguyen trai vocational college,[]
hanoi international vocational college,[]
vocational college no 17 ministry national defense,[]
thang long vocational college,[]
tran hung dao vocational college,[]
van lang vocational college hanoi,[]
vietnam korea vocational college hanoi,[]
phu chau college,[]
fpt practice college,[]
college waterway transport 2,[]
thu duc college economics and technology,[]
college engineering 2,[]
nguyen truong to technical college,[]
ispace information technology vocational college,[]
saigon tourism vocational college,"['hospitality management', 'chuyen nganh quan tri lu hanh']"
hcm maritime vocational college,[]
hcm vocational college economics and technology,[]
saigon vocational college,[]
vocational college no 7 ministry national defense,[]
hcm vocational college,['industrial electricity']
hcm international college,"['business management', 'marketing management', 'da truyen thong']"
thu thiem college hcm,[]
thanh hoa vocational college agriculture and rural development,[]
phu tho mechanical and electrical college,[]
bac ninh college mechanical electrical and construction,[]
college construction mechanics,[]
college agricultural mechanics,[]
bac ninh industrial college,[]
nam dinh college textile and garment industry,[]
thai nguyen college industry and trade,[]
nghe an college tourism and commerce,[]
hoa binh college engineering and technology,[]
nam dinh college engineering and technology,[]
son la college engineering and technology,['chuyen nganh']
ha giang province college engineering and technology,[]
lao cai college,[]
an nhat vinh vocational college,[]
bac giang vocational college,[]
bac nam vocational college,[]
hai phong polytechnic vocational college,[]
northwest mechanical and electrical vocational college,[]
vocational college electrical engineering and irrigation,[]
tam diep construction mechanical and electrical vocational college,[]
ninh binh mechanical vocational college,[]
vocational college paper technology and electromechanics,[]
ha tinh vocational college technology,['network administrator']
licogi thanh hoa vocational college technology,[]
northeast vocational college technology and agriculture and forestry,[]
phu tho vocational college technology and agriculture and forestry,[]
bac giang vietnam korea vocational college technology,[]
vocational college technology economics and forest product processing,[]
vocational college technology economics and fisheries,[]
hai phong industrial vocational college,[]
thanh hoa industrial vocational college,[]
viet bac industrial vocational college vinacomin,[]
vietnam vocational college industry and trade,[]
dai an vocational college,[]
bac kan ethnic boarding vocational college,[]
airserco aviation service vocational college,[]
dien bien vocational college,[]
hai phong vocational college tourism and services,[]
duyen hai vocational college,[]
quang ninh mechanical and electrical transport vocational college,[]
vocational college waterway transport i,[]
central vocational college transport 2,[]
ha nam vocational college,[]
hai duong vocational college,[]
vicet vocational college economics and technology,[]
northern economic and technical vocational college,[]
nghe an vocational college economics and technology no 1,[]
to hieu vocational college economics and technology,[]
lod vocational college engineering and technology,[]
vietnam korea nghe an industrial technical vocational college,[]
thang long medical technical vocational college,[]
tuyen quang vocational college engineering and technology,[]
lam kinh vocational college,[]
lang son vocational college,[]
hai phong vocational college labor and social affairs,[]
lilama vocational college 1,[]
phu tho vocational college,[]
vocational college management and technology,[]
vocational college no 1 ministry national defense,[]
vocational college no 13 ministry national defense,[]
vocational college no 19 ministry national defense,[]
vocational college no 2 ministry national defense,[]
vocational college no 20 ministry national defense,[]
vocational college no 3 ministry national defense,[]
vocational college no 4 ministry national defense,[]
song da vocational college,[]
thai binh vocational college,[]
vocational college commerce and industry,[]
vietnamese korean vocational college quang ninh,[]
viet soviet vocational college no 1,[]
ha tinh vietnamese german vocational college,[]
viglacera vocational college,[]
vinh phuc vocational college,[]
yen bai vocational college,[]
vietnam coal and mineral college,[]
viet duc nghe an college,[]
vmu college,[]
central college mechanics construction and agriculture and forestry,[]
lilama international college technology 2,[]
tay nguyen college technology,[]
southern college technology and agriculture and forestry,[]
petroleum college,[]
dong khoi college,[]
can tho tourism college,[]
dalat tourism college,[]
da nang tourism college,[]
hue tourism college,[]
nha trang tourism college,[]
vung tau tourism college,[]
hoa binh xuan loc college,[]
dung quat college technology,[]
nha trang college engineering and technology,[]
dak lak technical college,[]
dong nai technical college,[]
an giang vocational college,[]
bac lieu vocational college,[]
binh phuoc vocational college,[]
binh thuan vocational college,[]
can tho vocational college,[]
quang ngai mechanical vocational college,[]
vocational college mechanics and irrigation,[]
dong an high tech vocational college,[]
dong nai high tech vocational college,[]
saigon vocational college technology,[]
da lat vocational college,[]
da nang vocational college,[]
dong thap vocational college,[]
hoa sen vocational college,[]
imperial international hotel and tourism vocational college,[]
kien giang vocational college,[]
ladec vocational college engineering and technology,[]
binh duong vocational college medical equipment engineering,[]
long an vocational college,[]
