school,specialization
dai hoc y duoc thai nguyen,"['chuyen nganh', 'chuyen nganh', 'duoc si']"
ngoai ngu thai nguyen,"['cu nhan anh ngu', 'ngon ngu anh']"
cao dang kinh te ky thuat thai nguyen,"['quan ly xay dung', 'ke toan']"
dai hoc hue,"['luat', 'tai chinh ngan hang', 'chuyen nganh khmt - cntt', 'dia chat', 'quan tri kinh doanh']"
dai hoc khoa hoc hue,"['cu nhan sinh hoc', 'cu nhan ly', 'dia chinh', 'tin hoc van phong', 'ngu van', 'toan ung dung (tong hop toan- tin) co chung chi ke toan, nghiep vu su pham.', 'cong nghe thong tin', 'cong nghe sinh hoc', 'toan hoc', 'dien tu vien thong']"
dai hoc kinh te hue,"['tin hoc kinh te', 'quan tri kinh doanh', 'kinh te hoc', 'marketing', 'song nganh kinh te nong nghiep_ tai chinh', 'ke toan doanh nghiep', 'kinh te nong nghiep', 'quan tri kinh doanh', 'ke toan', 'tai chinh ke toan', 'ke toan', 'kinh te phat trien', 'ke toan - kiem toan', 'chuyen nganh']"
dai hoc luat hue,"['luat kinh te', 'luat dan su', 'luat', 'luat', 'luat kinh te']"
dai hoc nghe thuat hue,['my thuat ung dung']
dai hoc ngoai ngu hue,"['tieng anh kinh te quoc te', 'tieng anh kinh te quoc te', 'ngon ngu anh', 'khoa tieng trung', 'tieng anh', 'quan he quoc te', 'quoc te hoc', 'ngon ngu va van hoa nhat ban', 'cu nhan tieng anh', 'ngon ngu anh', 'ngon ngu anh', 'ngon ngu anh', 'ngon ngu anh']"
dai hoc nong lam hue,"['trong trot', 'quan ly moi truong va nguon loi thuy san', 'phat trien nong thon', 'chuyen nganh']"
dai hoc su pham hue,"['lich su', 'toan', 'cong nghe thiet bi truong hoc', 'toan hoc', 'su pham hoa hoc']"
dai hoc y duoc hue,['duoc si']
du lich hue,['hue']
dai hoc da nang,"['dien ky thuat', 'ke toan -tin', 'xay dung', 'quan tri du lich', 'xay dung dan dung va cong nghiep', 'quan tri kinh doanh', 'quan tri nhan su', 'chuyen nganh']"
dai hoc bach khoa da nang,"['kinh te xay dung', 'ky su cau duong', 'chuyen nganh', 'cong nghe thuc pham', 'ki thuat dien-dien tu', 'cong nghe moi truong', 'dien tu vien thong', 'cong nghe hoa polyme', 'xay dung', 'cong nghe hoa hoc', 'co khi che tao may', 'dien ky thuat', 'kinh te xay dung va quan ly du an', 'dien tu- vien thong', 'co khi dong luc', 'hoa thuc pham', 'xay dung dan dung va cong nghiep', 'dien ky thuat', 'cntt-phan mem', 'ky thuat dien dien tu', 'chuyen nganh', 'co khi che tao may', 'hoa polime', 'ky thuat dien', 'kinh te xay dung', 'dien tu vien thong', 'dien tu - vien thong']"
dai hoc kinh te da nang,"['quan tri kinh doanh', 'ke toan', 'quan tri nguon nhan luc', 'tai chinh - ngan hang', 'quan tri kinh doanh du lich-dichj vu', 'qtkd', 'quan tri kinh doanh, chuyen nganh: quan tri tai chinh', 'quan tri kinh doanh', 'ngoai thuong', 'ngoai thuong', 'quan tri tai chinh', 'ke toan', 'ke toan', 'tai chinh ngan hang', 'quan tri kinh doanh', 'quan tri kinh doanh', 'quan tri kinh doanh']"
dai hoc su pham da nang,"['hoa duoc', 'cu nhan sinh - moi truong', 'vat ly', 'sinh hoc', 'sinh hoc', 'viet nam hoc (van hoa du lich)', 'bao chi', 'vat ly hoc', 'bao chi', 'vat ly', 'chuyen nganh: quan ly tai nguyen va moi truong', 'cu nhan van hoa hoc', 'cong tac xa hoi', 'khoa hoc moi truon', 'su pham sinh hoc']"
dai hoc ngoai ngu da nang,"['cu nhan anh', 'ngon ngu anh', 'cu nhan tieng anh', 'dong phuong hoc', 'ngon ngu nhat', 'tieng anh chuyen nganh', 'ngon ngu anh', 'cu nhan tieng anh', 'tieng trung', 'quoc te hoc', 'cu nhan anh - bien phien dich', 'cu nhan tieng anh', 'tieng anh thuong mai']"
dai hoc su pham ky thuat da nang,[]
dai hoc cong nghe thong tin truyen thong viet han,"['quan tri van phong', 'tu dong hoa']"
