school,specialization
cao dang van hoa,['kinh doanh xuat ban pham']
cao dang van xuan,['ke toan']
cao dang vhnt dl nha trang,['thanh nhac']
cao dang vhnt dl sai gon,"['quan tri khach san/ nha hang', 'nha hang khach san']"
cao dang xd so 2,"['co khi va xay dung', 'xay dung', 'xay dung dan dung va cong nghiep']"
cao dang xdct ha noidda,['ctn']
cao dang y duoc hong duc,"['duoc si', 'chuyen nganh']"
cao dang y duoc hong ductoit ngieo cap 3,['dieu duong']
cao thang,"['quan tri mang may tinh', 'co khi che tao', 'co khi dong luc']"
cap 2,['ko']
cap 3,['van hoa']
cap 3 long phuoc,['chuyen mon']
cap 3 nguyen trai luong son,['hoc sinh']
cap ba ba diem,['11/12']
cap mot,['lam xi nghiep']
cat,['ke toan - kiem toan']
central queensland university,['financial planning']
certificate of financial accounting college iv,['accounting']
cfa,['hoan thanh chung chi cfa cap do 3']
cghbbvcghgdghfffs,['gghhh']
chan nan met moi nhung van phai co,['chuyen nganh']
chan nuoi dong vat hoang da,['chuyen nganh']
chao yang university of technology,['quan tri kinh doanh']
chaopraya university,['marketing']
chi cuc bao ve thuc vat vinh long,['chuyen nganh thuoc va bao ve thuc vat']
chisholm institute,['business administration']
chisolme institute,['international business']
chu van an high school nha trang,['chuyen nganh']
chua,['chuyen nganh']
chua bang cap,"['chua co chuen nganh', 'chua co chuyen nganh']"
chua la gia nghiep,['chuyen nganh']
chung cap nghe,['co khi lap rap nha xuong']
chung hua university,['business administration']
chung yuan christian university,['tieng hoa']
chuyen anh viet anh,['kinh doanh']
chuyen hung yen,['tin']
chuyen khoa hoc tu nhien,['toan - tin']
chuyen nganh : quan tri kinh doanh tong quat,['dai hoc kinh te da nang']
chuyen si ao thun,['chuyen nganh']
cnc aptech,"['lap trinh vien', 'lap trinh vien']"
cnkt viet hung,['dien xi nghiep']
cntt,['cntt']
cntt sai gon,['do hoa da truyen thong']
co dien chi linh hai duong,['co khi']
co dien dong nai,"['nganh tien phay bao', 'dien cong nghiep']"
co dien ha noi,['cntt']
co khi,['gara oto']
co so 3 pccc,['pccc-cnch']
co so phu my,['tin']
coc coc company limited,['sales - marketing online']
cofer college of foreign economic relations,['quan tri kinh doanh']
collec cuu long,['ktv xet nghiem']
colledge of finance customs,['kinh doanh thuong mai - xuat nhap khau']
college of foreign economic relations,"['chuyen nganh: ke toan', 'business administration/management']"
college of technologies and economics in trade,['quan tri khach san']
coltech,['chuyen nganh']
cong nghe aptech,['cong nghe thong tin']
cong nghe chau a thai binh duong,['quan tri kinh doanh']
cong nghiep tuy hoa,['quan tri kinh doanh']
cong nhan ki thuat giao thong 2,['lao dong pho thong']
cong nhan ky thuat nhan dao,['dien tu']
cong ty,['may cong nghiep']
cong ty co phan dao tao ky nang chuyen nghiep,['ky nang le tan van thu hanh chinh']
cong ty co phan thiet ke trang suc jemmia,['quan tri kinh doanh']
