,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
1263,Cao đẳng Kinh tế Đối ngoại,Xuất Nhập Khẩu,cao đẳng kinh tế đối ngoại,"(1.0, 'cao đẳng kinh tế đối ngoại')",xuất nhập khẩu,"(1.0, 'xuất nhập khẩu')"
1264,ĐH Kinh tế Hồ Chí Minh,Ngoại Thương,đại học kinh tế hcm,"(0.7647058823529411, 'đại học kinh tế tp hcm')",ngoại thương,"(0.35294117647058826, 'thương mại điện tử')"
1265,Đại học kinh tế quốc dân,Tài chính doanh nghiệp,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",tài chính doanh nghiệp,"(1.0, 'tài chính doanh nghiệp')"
1266,Cao Đẳng Du Lịch Hà Nội,Quản trị lữ hành,cao đẳng du lịch hà nội,"(1.0, 'cao đẳng du lịch hà nội')",quản trị lữ hành,"(0.4666666666666667, 'quản trị luật')"
1267,Học viện Kỹ thuật Mật mã,An toàn thông tin,học viện kỹ thuật mật mã,"(1.0, 'học viện kỹ thuật mật mã')",an toàn thông tin,"(1.0, 'an toàn thông tin')"
1268,đh công nghệ giao thông vận tải,điện . điện tử,đại học công nghệ giao thông vận tải,"(1.0, 'đại học công nghệ giao thông vận tải')",công nghệ kỹ thuật điện điện tử,"(1.0, 'công nghệ kỹ thuật điện điện tử')"
1269,THPT Đạ Teh.,0,thpt đạ teh.,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1270,Đại học Tài chính - Marketing,Thẩm định giá,đại học tài chính - marketing,"(1.0, 'đại học tài chính marketing')",thẩm định giá,"(0.15789473684210525, 'công nghệ thẩm mỹ')"
1271,truong cao dang dien luc thanh pho ho chi minh,hệ thống điện,truong cao dang dien luc thanh pho hcm,"(0.23809523809523808, 'cao đẳng phát thanh truyền hình i')",hệ thống điện,"(1.0, 'hệ thống điện')"
1272,Đại học RMIT Việt Nam,Logistics & Supply Chain Management,đại học rmit việt nam,"(1.0, 'đại học rmit')",logistics supply chain management,"(0.875, 'logistics và quản lý chuỗi cung ứng')"
1273,Đại học Văn Lang,Quản trị Du lịch lữ hành,đại học văn lang,"(1.0, 'đại học văn lang')",quản trị du lịch lữ hành,"(0.7083333333333334, 'quản trị dịch vụ du lịch và lữ hành')"
1274,Trường trung cấp phương nam,dược,trung cấp phương nam,"(0.4666666666666667, 'trung cấp')",dược,"(0.5, 'dược học')"
1275,Đại học Lâm Nghiệp TP Hồ Chí Minh,0,đại học lâm nghiệp tp hcm,"(0.6521739130434783, 'đại học công nghiệp tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1276,김민수,0,김민수,"(0.0, 'đại học quốc gia tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1277,Trường Đại Học Xây Dựng Miền Tây,0,đại học xây dựng miền tây,"(1.0, 'đại học xây dựng miền tây')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1278,Sonadezi College Of Technology and Management,0,sonadezi college of technology and management,"(0.4146341463414634, 'cao đẳng công nghệ thủ đức')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1279,Trường Đại học Tôn Đức Thắng ,Pharmacy ,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",pharmacy,"(1.0, 'dược học')"
1280,THPT Long Kiến Long Xuyên,0,thpt long kiến long xuyên,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1281,Đại học Kinh tế Quốc dân Hà Nội,0,đại học kinh tế quốc dân hà nội,"(0.8181818181818182, 'đại học kinh tế quốc dân')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1282,Học viện Công nghệ Bưu chính Viễn thông Hà Nội,0,học viện công nghệ bưu chính viễn thông hà nội,"(0.8709677419354839, 'học viện công nghệ bưu chính viễn thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1283,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Quản tri kinh doanh,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",quản tri kinh doanh,"(0.75, 'quản trị kinh doanh')"
1284,Trường Đại Học Nông Lâm TP.HCM ,0,đại học nông lâm tp.hcm,"(1.0, 'đại học nông lâm tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1285,Đại học Kiến trúc Hà Nội,0,đại học kiến trúc hà nội,"(1.0, 'đại học kiến trúc hà nội')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1286, Trường Hữu Nghị 80 Sơn Tây,0,hữu nghị 80 sơn tây,"(0.18181818181818182, 'đại học công nghệ và quản lý hữu nghị')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1287,Trường Đại học Kinh Tế Quốc Dân ,Kế toán - Kiểm toán,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
1288,ĐH Kinh Tế TP.HCM ,0,đại học kinh tế tp.hcm,"(1.0, 'đại học kinh tế tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1289,Hà Nội Law University,0,hà nội law university,"(0.6190476190476191, 'đại học luật hà nội')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1290,Trường Trung Cấp Ánh Sáng,0,trung cấp ánh sáng,"(0.5833333333333334, 'trung cấp')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1291,Trường Đại học Sư phạm Kỹ thuật Hưng Yên, cơ điện tử,đại học sư phạm kỹ thuật hưng yên,"(1.0, 'đại học sư phạm kỹ thuật hưng yên')",cơ điện tử,"(0.5, 'kỹ thuật cơ điện tử')"
1292,THCS Hậu GIang,0,thcs hậu giang,"(1.0, 'trung học cơ sở')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1293,12/12,THPT,12/12,"(0.041666666666666664, 'cao đẳng nghề số 21 bộ quốc phòng')",Phổ thông,"(1.0, 'phổ thông')"
1294,Trường THPT Văn Miếu - Thanh Sơn - Phú Thọ,0,thpt văn miếu - thanh sơn - phú thọ,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1295,Đại học Công nghệ TP Hồ Chí Minh,0,đại học công nghệ tp hcm,"(1.0, 'đại học công nghệ tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1296,Trường Đại học Tài chính - Marketing ,0,đại học tài chính - marketing,"(1.0, 'đại học tài chính marketing')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1297,Bo quoc phong cao dang nghe so 8 ,0,bo quoc phong cao dang nghe so 8,"(0.2571428571428571, 'cao đẳng công nghiệp quốc phòng')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1298,thpt long hai phuoc tinh Vũng Tàu,0,thpt long hai phuoc tinh vũng tàu,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1299,Đại học Kinh tế - Luật,Luật kinh doanh,đại học kinh tế - luật,"(0.75, 'đại học kinh tế luật tp hcm')",luật kinh doanh,"(1.0, 'luật kinh doanh')"
1300,trường đại học ngoại ngữ - tin học tp hồ chí minh,thiết kế đồ hoạ,đại học ngoại ngữ - tin học tp hcm,"(1.0, 'đại học ngoại ngữ tin học tp hcm')",thiết kế đồ hoạ,"(0.6923076923076923, 'thiết kế đồ họa')"
1301,Dai Hoc Su Pham Ha Noi  ·,Mầm non,đại học su pham ha noi ·,"(0.38095238095238093, 'đại học sunderland')",mầm non,"(0.45454545454545453, 'sư phạm mầm non')"
1302,Đại học Sao Đỏ,0,đại học sao đỏ,"(1.0, 'đại học sao đỏ')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1303,THPT Lương Thế Vinh- Gia Lai,0,thpt lương thế vinh- gia lai,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1304,Học Viện Nông Nghiệp Việt Nam Khóa 2016 ,Kinh tế học phát triển,học viện nông nghiệp việt nam khóa 2016,"(0.7037037037037037, 'học viện nông nghiệp việt nam')",kinh tế học phát triển,"(0.7222222222222222, 'kinh tế phát triển')"
1305,Trường Đại Học Kinh Tế Kĩ Thuật Công Nghiệp Hà Nội,0,đại học kinh tế kĩ thuật công nghiệp hà nội,"(0.7352941176470589, 'đại học kinh tế kỹ thuật công nghiệp')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1306,THPT Việt Nam - Ba Lan,0,thpt việt nam - ba lan,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1307,Đại học Kinh Tế-Kỹ thuật Công nghiệp ( UNETI),0,đại học kinh tế-kỹ thuật công nghiệp ( uneti),"(0.84375, 'đại học kinh tế kỹ thuật công nghiệp')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1308,THPT Trần Phú - Đà Lạt,0,thpt trần phú - đà lạt,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1309,Trường Đại học Sư phạm Hà Nội ,GV Mầm Non,đại học sư phạm hà nội,"(1.0, 'đại học sư phạm hà nội')",gv mầm non,"(0.38461538461538464, 'sư phạm mầm non')"
