,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
1310,trường đại học giao thông vận tải thành phố hồ chí minh,Thiết Bị Năng Lượng,đại học giao thông vận tải tp hcm,"(1.0, 'đại học giao thông vận tải tp hcm')",thiết bị năng lượng,"(0.35, 'năng lượng tái tạo')"
1311,Trung học Thực hành Sài Gòn [Sai Gon Experimental High school],0,trung học thực hành sài gòn [sai gon experimental high school],"(0.23076923076923078, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1312,THPT Suong Nguyet ANH,0,thpt suong nguyet anh,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1313,Trường THPT Đạ Huoai,0,thpt đạ huoai,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1314,Đại học Văn Hóa TP HCM - VHS,Quản Lý Văn Hóa,đại học văn hóa tp hcm - vhs,"(0.8421052631578947, 'đại học văn hóa tp hcm')",quản lý văn hóa,"(1.0, 'quản lý văn hóa')"
1315,Trường Đại Học Công Nghiệp TP.HCM,Quản trị Kinh doanh,đại học công nghiệp tp.hcm,"(1.0, 'đại học công nghiệp tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
1316,Đại học Hà Nội,Ngôn ngữ Anh,đại học hà nội,"(1.0, 'đại học hà nội')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
1317,Đại học Bạc Liêu,0,đại học bạc liêu,"(1.0, 'đại học bạc liêu')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1318,Liên kết Đại học sư phạm kỹ thuật Tp HCM,Quản Trị Kinh Doanh,liên kết đại học sư phạm kỹ thuật tp hcm,"(0.7586206896551724, 'đại học sư phạm kỹ thuật tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
1319,Đại học Hồng Đức,0,đại học hồng đức,"(1.0, 'đại học hồng đức')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1320,Trường Đại học Khoa học Xã hội và Nhân văn,Văn học,đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",văn học,"(1.0, 'văn học')"
1321,SG tourist,Qli nhà hàng,sg tourist,"(0.12, 'đại học nông lâm bắc giang')",qli nhà hàng,"(0.23529411764705882, 'tài chính ngân hàng')"
1322,Trung cấp công nghệ và kỹ thuật Cửu Long,0,trung cấp công nghệ và kỹ thuật cửu long,"(0.45714285714285713, 'cao đẳng công nghệ và kỹ thuật ô tô')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1323,hutech,tài chính ngân hàng,hutech,"(1.0, 'đại học công nghệ tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
1324,Cao Đẳng Công Nghệ Thông Tin - TP.HCM ,0,cao đẳng công nghệ thông tin - tp.hcm,"(1.0, 'cao đẳng công nghệ thông tin tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1325,Ton Duc Thang University ,Kế toán,ton duc thang university,"(1.0, 'đại học tôn đức thắng')",kế toán,"(1.0, 'kế toán')"
1326,THPT Phạm Thái Bường Trà Vinh,0,thpt phạm thái bường trà vinh,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1327,THPT Dĩ An,THPT,thpt dĩ an,"(1.0, 'trung học phổ thông')",Phổ thông,"(1.0, 'phổ thông')"
1328,Đại học Tôn Đức Thắng,Việt Nam Học,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",việt nam học,"(1.0, 'việt nam học')"
1329,Đại học Luật tphcm,Luật học,đại học luật tp hcm,"(1.0, 'đại học luật tp hcm')",luật học,"(0.5, 'luật')"
1330,Trường ĐH Tài Chính Marketing,Tài chính Ngân hàn,đại học tài chính marketing,"(1.0, 'đại học tài chính marketing')",tài chính ngân hàn,"(1.0, 'tài chính ngân hàng')"
1331,Đại học Khoa học xã hội và nhân văn,Hán Nôm,đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",hán nôm,"(1.0, 'hán nôm')"
1332,đại học kinh tế quốc dân,quản trị kinh doanh quốc tế,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",quản trị kinh doanh quốc tế,"(0.8181818181818182, 'quản trị và kinh doanh quốc tế')"
1333,trường thpt chuyên khoa học tự nhiên,chuyên toán,thpt chuyên khoa học tự nhiên,"(1.0, 'trung học phổ thông')",chuyên toán,"(0.36363636363636365, 'toán tin')"
1334,Cao Đẳng Kinh Tế Kỹ Thuật Phú Lâm,Kỹ Thuật ,cao đẳng kinh tế kỹ thuật phú lâm,"(0.8148148148148148, 'cao đẳng kinh tế kỹ thuật phú thọ')",kỹ thuật,"(0.75, 'cơ kỹ thuật')"
1335,Học viện Tài Chính (Academy Of Finance),Kế Toán,học viện tài chính (academy of finance),"(0.5, 'học viện tài chính')",kế toán,"(1.0, 'kế toán')"
1336,Trường Đại Học Công Nghiệp Thành Phố Hồ Chí Minh,Điện Công Nghiệp Và Điện Dân Dụng,đại học công nghiệp tp hcm,"(1.0, 'đại học công nghiệp tp hcm')",điện công nghiệp và điện dân dụng,"(0.5789473684210527, 'điện công nghiệp')"
1337,Cao đẳng Phát Thanh - Truyền Hình 2,Báo chí,cao đẳng phát thanh - truyền hình 2,"(0.92, 'cao đẳng phát thanh truyền hình i')",báo chí,"(1.0, 'báo chí')"
1338,Đại học Quốc gia Hà Nội,Sư phạm,đại học quốc gia hà nội,"(1.0, 'đại học quốc gia hà nội')",sư phạm,"(0.5, 'sư phạm vật lý')"
1339,International School HCMC American Academy,0,international school hcmc american academy,"(0.3902439024390244, 'học viện chính trị hành chính quốc gia tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1340,THPT Quốc Oai,Học sinh ban A01 chuyển D01,thpt quốc oai,"(1.0, 'trung học phổ thông')",học sinh ban a01 chuyển d01,"(0.3, 'học sinh')"
1341,Mỹ thuật công nghiệp,Đồ hoạ,mỹ thuật công nghiệp,"(0.7142857142857143, 'đại học mỹ thuật công nghiệp')",đồ hoạ,"(0.3333333333333333, 'đồ họa')"
1342,Trường Cao Đẳng Nghề GTVT TW2,Ngề,cao đẳng nghề giao thông vận tải trung ương2,"(0.9354838709677419, 'cao đẳng nghề giao thông vận tải trung ương ii')",ngề,"(0.16666666666666666, 'kỹ năng')"
