school,specialization
cao dang cong nghe thong tin,"['tin hoc thiet ke web', 'chuyen nganh ke toan', 'quan tri kinh doanh', 'truyen thong va mang may tinh', 'quan tri kinh doanh']"
cao dang cong nghe thong tin da nang,['cong nghe thong tin']
cao dang cong nghe thong tin dai hoc da nang,['chuyen nganh']
cao dang cong nghe thong tin hcm,"['truyen thong va mang may tinh', 'tai chinh ngan hang', 'quan tri kinh doanh', 'quan tri kinh doanh thuong mai', 'ke toan tin hoc', 'tai chinh ngan hang', 'he thong thong tin quan ly', 'tai chinh - ngan hang', 'quan tri kinh doanh', 'ke toan', 'dien tu-vien thong', 'chuyen nganh']"
cao dang cong nghe thong tin huu nghi viet han,['cong nghe thong tin']
cao dang cong nghe thong tin huu nghi viet han da nang,['mang may tinh']
cao dang cong nghe thong tin ispace,['quan tri mang']
cao dang cong nghe thu duc,"['ke toan', 'ke toan', 'cong nghe phan mem', 'cong nghe thong tin', 'quan tri kinh doanh', 'ke toan', 'quan tri doanh nghiep thuong mai', 'ke toan doanh nghiep', 'tieng han', 'dien tu truyen thong', 'dien - dien tu', 'dien tu truyen thong', 'quan tri kinh doanh', 'ke toan', 'tin hoc do hoa', 'ke toan', 'diencong nghiep', 'qtkd', 'quan tri kinh doanh', 'ke toan', 'chuyen nganh', 'chuyen nganh co khi', 'anh van, ke toan, cong nghe thong tin', 'accouting & auditing', 'chuyen nganh', 'chu tich']"
cao dang cong nghe thuc pham hcm,['chuyen nganh ke toan']
cao dang cong nghe thuong mai ha noi,"['dieu duong', 'khoa y duoc', 'khoa y duoc', 'dieu duong', 'quan tri kinh doanh', 'duoc', 'cong tac xa hoi']"
cao dang cong nghe viettronic,"['cong nghe ky thuat dieu khien va tu dong hoa', 'dien cong nghiep va dan dung']"
cao dang cong nghe xay dung quang ninh,['ke toan doanh nghiep']
cao dang cong nghecbqbababsbsnsnnsjsbsbsbw e w s,['cong nghe thong tin']
cao dang cong nghiep 4,['ktoan']
cao dang cong nghiep det may thoi trang ha noi,['ke toan ban hang+ ke toan doanh nghiep']
cao dang cong nghiep ha noi,"['chuyen nganh ke toan tai chinh', 'co khi', 'ke toan- kiem toan', 'dien cong nghiepkhas', 'ke toan san xuat', 'chuyen nganh']"
cao dang cong nghiep hai phong,['dien tu']
cao dang cong nghiep hcm,['co khi che tao']
cao dang cong nghiep hue,"['dien', 'cong nghe ki thuat moi truong', 'co khi che tao', 'tin hoc', 'dien lanh', 'tin hoc ung dung', 'cong nghe ky thuat co khi', 'cong nghe che tao may']"
cao dang cong nghiep hung yen,"['dien', 'dien dien tu']"
cao dang cong nghiep in,"['cong nghe in', 'cong nghe in']"
cao dang cong nghiep nam dinh,"['ke toan', 'co khi che tao', 'trung cap ke toan', 'dien cong nghiep', 'co khi che tao']"
cao dang cong nghiep phuc yen,"['cong nghe thong tin', 'tin hoc ung dung', 'ke toan', 'cong nghe ky thuat oto', 'cong nghe thong tin', 'cong nghe o to']"
cao dang cong nghiep quoc phong,['trung cap co khi']
cao dang cong nghiep sao do,['han']
cao dang cong nghiep thuc pham,"['ke toan doanh nghiep', 'tai chinh- ngan hang', 'ke toan doanh nghiep']"
