,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
9207,trường cao đẳng nghề lilama2,cao dang nghe lilama2,cao dang nghe lilama 1,chế tạo thiết bị cơ khí,che tao thiet bi co khi,che tao thiet bi co khi
9208,Trường THPT số 2 Văn Bàn,trung hoc pho thong so 2 van ban,trung hoc pho thong so 2 van ban,Chuyên ngành,chuyen nganh,chuyen nganh
9209,Đại Học Bôn Ba,dai hoc bon ba,dai hoc bon ba,Tâm lý học,tam ly hoc,tam ly hoc
9210,Trường Đại Học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Kế toán - Tài Chính,ke toan tai chinh,ke toan tai chinh
9211,THPT Nguyễn Trung Trực,trung hoc pho thong nguyen trung truc,trung hoc pho thong nguyen trung truc,Chuyên ngành,chuyen nganh,chuyen nganh
9212,Hoa Sen University,hoa sen university,dai hoc hoa sen,Chuyên ngành,chuyen nganh,chuyen nganh
9213,Trường Cao đẳng Kinh Tế Tp.HCM,cao dang kinh te hcm,cao dang kinh te hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9214,Bac Lieu University,bac lieu university,dai hoc bac lieu,I.T - Công nghệ thông tin - Kỹ Thuật Phần mềm & Phần cứng máy tính.,i t cong nghe thong tin ky thuat phan mem phan cung may tinh,cong nghe ky thuat may tinh
9215,Hà Nội University of Business and Technology,ha noi university of business and technology,dai hoc kinh doanh cong nghe ha noi,English,english,ngon ngu anh
9216,THPT Kiến An,trung hoc pho thong kien an,trung hoc pho thong kien an,English,english,ngon ngu anh
9217,Đại học Công nghiệp Thực phẩm Tp.HCM,dai hoc cong nghiep thuc pham hcm,dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9218,hubt,hubt,CannotFound,tài chính,tai chinh,cong nghe tai chinh
9219,Cao đẳng nghề bách khoa Hà Nội,cao dang nghe bach khoa ha noi,cao dang nghe bach khoa ha noi,Điện công nghiệp,dien cong nghiep,dien cong nghiep
9220,Cao đẳng Đông Du,cao dang dong du,cao dang dong khoi,kế toán DNSX,ke toan da nangsx,ke toan
9221,Game Thủ Của Liên Minh Huyền Thoại,game thu cua lien minh huyen thoai,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9222,FPT University,fpt university,dai hoc fpt,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9223,*%*_Ăn Chơi Có Tổ Chức _ Đập Phá Có Giấy Tờ_Lừa Tình Có Đào...,% an choi co to chuc dap pha co giay to lua tinh co dao,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9224,Đại học Bách Khoa TP.HCM,dai hoc bach khoa hcm,dai hoc bach khoa hcm,Kỹ thuật y sinh,ky thuat y sinh,ky thuat y sinh
9225,Đại học SPKT thành phố Hồ Chí Minh,dai hoc spkt hcm,dai hoc spkt hcm,Chuyên ngành Cơ điện tử,chuyen nganh co dien tu,chuyen nganh
9226,cao dang bach viet tphcm,cao dang bach viet hcm,cao dang bach viet,CNTT,cong nghe thong tin,cong nghe thong tin
9227,Bách Việt College,bach viet college,cao dang bach viet,CNTT,cong nghe thong tin,cong nghe thong tin
9228,Đại Học Bôn Ba,dai hoc bon ba,dai hoc bon ba,Chuyên ngành,chuyen nganh,chuyen nganh
9229,Trung Tâm Đào Tạo Ngoại ngữ Tiếng Hàn kanata,trung tam dao tao ngoai ngu tieng han kanata,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9230,Buôn ba,buon ba,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9231,Dòng Mến Các Em,dong men cac em,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9232,Trường Đại Học Khoa Học Tự Nhiên - Đại Học Quốc Gia TPHCM,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9233,HUTECH - Trường Đại học Công nghệ TP.HCM,hutech truong dai hoc cong nghe hcm,dai hoc cong nghe hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9234,ĐH KINH TẾ KỸ THUẬT BÌNH DƯƠNG,dai hoc kinh te ky thuat binh duong,dai hoc kinh te ky thuat binh duong,KẾ TOÁN,ke toan,ke toan
9235,Dai hoc buôn ba!,dai hoc buon ba!,dai hoc buon ba!,Chuyên ngành,chuyen nganh,chuyen nganh
9236,Đại học bình dươnh,dai hoc binh duonh,dai hoc binh duong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9237,Mầm Xanh,mam xanh,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9238,Đại Học Thăng Long,dai hoc thang long,dai hoc thang long,Tài chính - Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
9239,SEKOU TOURE,sekou toure,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9240,đại học ngoại ngữ,dai hoc ngoai ngu,dai hoc ngoai ngu hue,tiếng Anh,tieng anh,su pham tieng anh
9241,Hanoi Architectural University,hanoi architectural university,hanoi architectural university,Chuyên ngành,chuyen nganh,chuyen nganh
9242,STHC - Saigontourist Hospitality College,sthc saigontourist hospitality college,CannotFound,Hotel Management,hotel management,quan tri khach san
9243,Đại học Xây dựng Hà nội,dai hoc xay dung ha noi,dai hoc xay dung ha noi,Xây dựng Cầu đường bộ,xay dung cau duong bo,xay dung cau duong bo
9244,Đại Học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Công nghệ thực phẩm,cong nghe thuc pham,cong nghe thuc pham
9245,Học viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,Chuyên ngành,chuyen nganh,chuyen nganh
9246,ĐẠI HỌC QUỐC GIA HÀ NỘI,dai hoc quoc gia ha noi,dai hoc quoc gia ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9247,NTTU - Đại học Nguyễn Tất Thành,nttu dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Cử nhân Điều dưỡng đa khoa,cu nhan dieu duong da khoa,dieu duong
9248,Trung Cấp Quang Trung,trung cap quang trung,CannotFound,Y sĩ đa khoa,y si da khoa,y khoa
9249,Cao Đẳng Công Thương TP Hồ Chí Minh,cao dang cong thuong hcm,cao dang cong thuong hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9250,THPT Bà Điểm,trung hoc pho thong ba diem,trung hoc pho thong ba diem,Chuyên ngành,chuyen nganh,chuyen nganh
9251,SOC TRANG TEACHERS ' TRAINING COLLEGE,soc trang teachers ' training college,CannotFound,CNTT,cong nghe thong tin,cong nghe thong tin
9252,Cao Đẳng Công Nghệ Thông Tin TP.HCM,cao dang cong nghe thong tin hcm,cao dang cong nghe thong tin hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9253,Đại học Xây dựng,dai hoc xay dung,dai hoc xay dung ha noi,Xây dựng dân dụng và công nghiệp ĐH khóa 62,xay dung dan dung cong nghiep dai hoc khoa 62,xay dung dan dung cong nghiep dai hoc khoa 62
9254,"Ở Nhà Là Không Văng Tục Chửi Bậy !!! :>""","o nha la khong vang tuc chui bay !!! :>""",CannotFound,Quậy phá. Ăn Chơi Chém Gió Có Đảng Cấp,quay pha an choi chem gio co dang cap,quay pha an choi chem gio co dang cap
9255,truong DHTDTT TP.HCM,dai hoc the duc the thao hcm,dai hoc the duc the thao hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9256,dai hoc the duc the thao,dai hoc the duc the thao,dai hoc the duc the thao hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9257,DH TDTT 2,dai hoc the duc the thao 2,dai hoc the duc the thao hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9258,công nghệ Bách Khoa,cong nghe bach khoa,cao dang nghe bach khoa,Chuyên ngành,chuyen nganh,chuyen nganh
9259,Đại Học Sư Phạm TP Hồ Chí MInh,dai hoc su pham hcm,dai hoc su pham hcm,Ngôn ngữ Hàn Quốc,ngon ngu han quoc,ngon ngu han quoc
9260,University of Economics and Business - VNU,university of economics and business vnu,dai hoc kinh te quan tri kinh doanh thai nguyen,Chuyên ngành,chuyen nganh,chuyen nganh
9261,Đại học Giao thông vận tải Hà Nội,dai hoc giao thong van tai ha noi,dai hoc giao thong van tai,Chuyên ngành,chuyen nganh,chuyen nganh
9262,Tĩnh Gia 2 Confessions,tinh gia 2 confessions,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9263,binh chanh,binh chanh,CannotFound,nais,nais,nais
9264,Đại học Khoa học - Đại học Thái Nguyên,dai hoc khoa hoc dai hoc thai nguyen,dai hoc khoa hoc thai nguyen,Toán - Tin ứng dụng,toan tin ung dung,toan ung dung
9265,Đại học Kiến trúc Thành phố Hồ Chí Minh,dai hoc kien truc hcm,dai hoc kien truc hcm,Kiến trúc sư công trình,kien truc su cong trinh,kien truc su cong trinh
9266,THPT Trần Phú - Đà Lạt,trung hoc pho thong tran phu da lat,trung hoc pho thong tran phu da lat,Chuyên ngành,chuyen nganh,chuyen nganh
9267,THPT Giồng Ông Tố,trung hoc pho thong giong ong to,trung hoc pho thong giong ong to,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9268,HUTECH - Đại học Công nghệ Tp.HCM,hutech dai hoc cong nghe hcm,dai hoc cong nghe hcm,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
9269,Trường Đại học Thủ Dầu Một,dai hoc thu dau mot,dai hoc thu dau mot,Chuyên ngành,chuyen nganh,chuyen nganh
9270,Cao Đẳng Kinh Tế - Kỹ Thuật Tp.HCM,cao dang kinh te ky thuat hcm,cao dang kinh te ky thuat hcm,Kế toán,ke toan,ke toan
9271,Học Viện Cán Bộ Thành Phố Hồ Chí Minh,hoc vien can bo hcm,hoc vien can bo hcm,Công tác xã hội-CTXH,cong tac xa hoi ctxh,cong tac xa hoi
9272,HUTECH - Đại học Công nghệ Tp.HCM,hutech dai hoc cong nghe hcm,dai hoc cong nghe hcm,Tài chính - ngân hàng,tai chinh ngan hang,tai chinh ngan hang
9273,truong THPT so 2 duc pho,trung hoc pho thong so 2 duc pho,trung hoc pho thong so 2 duc pho,Chuyên ngành,chuyen nganh,chuyen nganh
9274,đại học sài gòn,dai hoc sai gon,dai hoc sai gon,kế toán,ke toan,ke toan
9275,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Kĩ thuật Điện - Điện tử,ki thuat dien dien tu,ky thuat co dien tu
9276,đào tạo từ xa,dao tao tu xa,CannotFound,luật học,luat hoc,luat hoc
9277,ben tre,ben tre,cao dang ben tre,cử nhân tiếng anh,cu nhan tieng anh,cu nhan tieng anh
9278,Bến Tre,ben tre,cao dang ben tre,Tiếng Anh,tieng anh,su pham tieng anh
9279,skyline school,skyline school,CannotFound,c3,c3,c3
9280,đại học điện lực,dai hoc dien luc,dai hoc dien luc,kỹ thuật hạt nhân,ky thuat hat nhan,ky thuat hat nhan
9281,HUFLIT,huflit,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9282,Đại Học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Chuyên ngành dược,chuyen nganh duoc,chuyen nganh
9283,Hanoi University of Business and Technology,hanoi university of business and technology,dai hoc kinh doanh cong nghe ha noi,Financial,financial,cong nghe tai chinh
9284,khoa hoc xa hoi va nhan van,khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,Ngữ Văn Anh,ngu van anh,ngu van anh
9285,học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,kế toán,ke toan,ke toan
9286,Trường Cao đẳng Văn hóa Nghệ thuật HCM CVN,cao dang van hoa nghe thuat hcm cvn,cao dang van hoa nghe thuat hcm,Thanh Nhạc,thanh nhac,thanh nhac
9287,IUH -  ĐH Công Nghiệp TP.HCM,iuh dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Công nghệ kỹ thuật Điện tử - Truyền thông,cong nghe ky thuat dien tu truyen thong,cong nghe ky thuat dien dien tu
9288,Dale Carnegie Vietnam,dale carnegie vietnam,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9289,CD GTVT III,cao dang giao thong van tai 3,cao dang giao thong van tai hcm,xay dung cau duong,xay dung cau duong,xay dung cau duong
9290,Cao Đẳng Nghề Kỹ Thuật Công nghệ TPHCM,cao dang nghe ky thuat cong nghe hcm,cao dang nghe ky thuat cong nghe,Kế toán doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
9291,Đại Học Kinh Tế - Kỹ Thuật Công Nghiệp - UNETI,dai hoc kinh te ky thuat cong nghiep uneti,dai hoc kinh te ky thuat cong nghiep,Công nghệ may & thiết kế thời trang,cong nghe may thiet ke thoi trang,thiet ke thoi trang
9292,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam vietnam aviation academy,hoc vien hang khong viet nam,Chuyên ngành quản trị kinh doanh,chuyen nganh quan tri kinh doanh,quan tri kinh doanh
9293,Đại học Kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kiểm toán,kiem toan,kiem toan
9294,Dai Hoc Thu Dau Mot,dai hoc thu dau mot,dai hoc thu dau mot,Chuyên ngành,chuyen nganh,chuyen nganh
9295,dai hoc lam nghiep viet nam,dai hoc lam nghiep viet nam,dai hoc lam nghiep,Chuyên ngành,chuyen nganh,chuyen nganh
9296,Học viện ngân hàng,hoc vien ngan hang,hoc vien ngan hang,Chuyên ngành,chuyen nganh,chuyen nganh
9297,Tiếng Anh giao tiếp Lepoca,tieng anh giao tiep lepoca,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9298,Đại Học Công Nghiệp Hà Nội (HaUI),dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9299,dh cong nghiep tp ho chi minh,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9300,ಌღ. Trường THPT Tứ Kỳ - Niềm Tự Hào Của Tôi .ღಌ,lg' truong trung hoc pho thong tu ky niem tu hao cua toi g'l,lg' truong trung hoc pho thong tu ky niem tu hao cua toi g'l,Chuyên ngành,chuyen nganh,chuyen nganh
9301,Đại học Đồng Tháp,dai hoc dong thap,dai hoc dong thap,Chuyên ngành,chuyen nganh,chuyen nganh
9302,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9303,Trường Cao đẳng Kinh tế - Kỹ thuật Kiên Giang,cao dang kinh te ky thuat kien giang,cao dang kinh te ky thuat dien bien,Chuyên ngành,chuyen nganh,chuyen nganh
9304,truong cao đang cong nghe lilama1,cao dang cong nghe lilama1,cao dang cong nghe lilama1,co khi che tao va lap đặt ông công  nghệ,co khi che tao lap dat ong cong nghe,co khi che tao lap dat ong cong nghe
9305,Học Viện Kỹ Thuật Quân Sự (MTA),hoc vien ky thuat quan su,hoc vien ky thuat quan su,Chuyên ngành,chuyen nganh,chuyen nganh
9306,Học Viện Kỹ Thuật Quân Sự (MTA),hoc vien ky thuat quan su,hoc vien ky thuat quan su,Chuyên ngành,chuyen nganh,chuyen nganh
9307,Trường Trung Cấp Đông Dương,trung cap dong duong,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9308,THPT Đoàn Kết,trung hoc pho thong doan ket,trung hoc pho thong doan ket,Chuyên ngành,chuyen nganh,chuyen nganh
9309,THPT Thanh Bình,trung hoc pho thong thanh binh,trung hoc pho thong thanh binh,Chuyên ngành,chuyen nganh,chuyen nganh
9310,Ho Chi Minh City University of Technology,hcm university of technology,dai hoc cong nghe hcm,Biotechnology Engineering,biotechnology engineering,cong nghe sinh hoc
9311,Gicuco,gicuco,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9312,Cao đẳng Cộng đồng đồng tháp,cao dang cong dong dong thap,cao dang cong dong dong thap,công nghệ thực phẩm,cong nghe thuc pham,cong nghe thuc pham
9313,bách khoa hcm,bach khoa hcm,CannotFound,cảng công trình biển,cang cong trinh bien,cang cong trinh bien
9314,Dai Hoc Ky Thuat Cong Nghiep Thai Nguyen,dai hoc ky thuat cong nghiep thai nguyen,dai hoc ky thuat cong nghiep thai nguyen,Chuyên ngành,chuyen nganh,chuyen nganh
9315,Đại Học Y Dược TP Hồ Chí Minh,dai hoc y duoc hcm,dai hoc y duoc hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9316,Đại Học Nha Trang,dai hoc nha trang,dai hoc nha trang,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9317,open university,open university,dai hoc mo hcm,manager,manager,manager
9318,THCS Gò Đen Confessions,trung hoc co so go den confessions,trung hoc co so go den confessions,Chuyên ngành,chuyen nganh,chuyen nganh
9319,Trường THPT Gò Đen,trung hoc pho thong go den,trung hoc pho thong go den,Chuyên ngành,chuyen nganh,chuyen nganh
9320,DHSP Ha Noi,dai hoc su pham ha noi,dai hoc su pham ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9321,khoa học xã hội và nhân văn,khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,trung quốc học,trung quoc hoc,trung quoc hoc
9322,Đại Học Buôn Ba Kiếm Tiền BỏTúi,dai hoc buon ba kiem tien botui,dai hoc buon ba kiem tien botui,Đại Học Chém GIó Xuyên Quốc GiA Thủng Quốc Tế,dai hoc chem gio xuyen quoc gia thung quoc te,dai hoc chem gio xuyen quoc gia thung quoc te
9323,"Trường THPT Bùi Thị Xuân, Đà Lạt",trung hoc pho thong bui thi xuan da lat,trung hoc pho thong bui thi xuan da lat,Chuyên ngành,chuyen nganh,chuyen nganh
9324,Đại học Sư phạm Hà Nội 2,dai hoc su pham ha noi 2,dai hoc su pham ha noi 2,Ngữ văn,ngu van,su pham ngu van
9325,Học viện Cảnh sát Nhân dân,hoc vien canh sat nhan dan,hoc vien canh sat nhan dan,Tư Pháp Hình Sự,tu phap hinh su,tu phap hinh su
9326,Trường Đại học Mỏ - Địa chất,dai hoc mo dia chat,dai hoc mo dia chat,Chuyên ngành,chuyen nganh,chuyen nganh
9327,Trường Đại học Nội vụ Hà Nội,dai hoc noi vu ha noi,dai hoc ha noi,Quản trị văn phòng,quan tri van phong,quan tri van phong
9328,THPT CAP 2-3 Phu Thinh,trung hoc pho thong cap 2 3 phu thinh,trung hoc pho thong cap 2 3 phu thinh,Chuyên ngành,chuyen nganh,chuyen nganh
9329,Trường Cao Đẳng Y Tế Đồng Nai,cao dang y te dong nai,cao dang y te dong nai,Chuyên ngành duoc si,chuyen nganh duoc si,chuyen nganh
9330,THPT Ba Gia,trung hoc pho thong ba gia,trung hoc pho thong ba gia,THPT Ba Gia,trung hoc pho thong ba gia,trung hoc pho thong ba gia
9331,Trường THPT Lê Hồng Phong - TX Bỉm Sơn,trung hoc pho thong le hong phong tx bim son,trung hoc pho thong le hong phong tx bim son,Anime/Manga,anime/manga,anime/manga
9332,đai hoc khongBách khoa Tp.HCM,dai hoc khongbach khoa hcm,dai hoc khongbach khoa hcm,he thong dien,he thong dien,he thong dien
9333,arena mutimedia,arena mutimedia,CannotFound,thiết kế đồ hoạ,thiet ke do hoa,thiet ke do hoa
9334,học viện hoa lan,hoc vien hoa lan,CannotFound,thiết kế thời trang,thiet ke thoi trang,thiet ke thoi trang
9335,Đại Học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
9336,đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế toán,ke toan,ke toan
9337,trường cao đẳng xây dựng công trình đô thị,cao dang xay dung cong trinh do thi,cao dang xay dung cong trinh do thi,kỹ thuật xây dưng,ky thuat xay dung,ky thuat xay dung
9338,phan sao nam,phan sao nam,CannotFound,khong co,khong co,khong co
9339,Mai Linh Professional College,mai linh professional college,CannotFound,Kế toán,ke toan,ke toan
9340,Đại Học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Chuyên ngành,chuyen nganh,chuyen nganh
9341,Tra Vinh University,tra vinh university,dai hoc tra vinh,Chuyên ngành,chuyen nganh,chuyen nganh
9342,trương trung câp au viet,trung cap au viet,CannotFound,tài chinh ngân hang,tai chinh ngan hang,tai chinh ngan hang
9343,Đại học Ngân Hàng TPHCM,dai hoc ngan hang hcm,dai hoc ngan hang hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9344,THCS Lam Son - Quan 6,trung hoc co so lam son quan 6,trung hoc co so lam son quan 6,Chuyên ngành,chuyen nganh,chuyen nganh
9345,học hành vất vả .kết quả 100mâm,hoc hanh vat ket qua 100mam,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9346,Đại Học Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Quản trị kinh doanh quốc tế,quan tri kinh doanh quoc te,quan tri kinh doanh
9347,đại học Mở tp HCM,dai hoc mo hcm,dai hoc mo hcm,luật kinh tế,luat kinh te,luat kinh te
9348,Quỳnh in Seoul,quynh in seoul,CannotFound,Học viên,hoc vien,hoc vien
9349,Đại học Sài Gòn,dai hoc sai gon,dai hoc sai gon,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9350,HUTECH - Trường Đại học Công nghệ TP.HCM,hutech truong dai hoc cong nghe hcm,dai hoc cong nghe hcm,Political documentary,political documentary,political documentary
9351,THCS Tam Bình,trung hoc co so tam binh,trung hoc co so tam binh,Chuyên ngành,chuyen nganh,chuyen nganh
9352,ĐH Công Nghệ Sài Gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Quản trị kinh doanh tổng hợp,quan tri kinh doanh tong hop,quan tri kinh doanh
9353,cong nghe sai gon,cong nghe sai gon,dai hoc cong nghe sai gon,QUAN TRI KINH DOANH,quan tri kinh doanh,quan tri kinh doanh
9354,saigontourist,saigontourist,CannotFound,quản lý,quan ly,quan ly cong
9355,Harvard University,harvard university,harvard university,Chuyên ngành,chuyen nganh,chuyen nganh
9356,Trường Đại Học Giao Thông Vận Tải Phân hiệu tại TP.HCM,dai hoc giao thong van tai phan hieu tai hcm,dai hoc giao thong van tai hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9357,Trường THPT Nam Đàn 2,trung hoc pho thong nam dan 2,trung hoc pho thong nam dan 2,Chuyên ngành,chuyen nganh,chuyen nganh
9358,Diễn Đàn Sinh Viên đại học Kinh Tế Quốc Dân,dien dan sinh vien dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Chuyên ngành,chuyen nganh,chuyen nganh
9359,Đại Học Bôn Ba,dai hoc bon ba,dai hoc bon ba,Chuyên ngành,chuyen nganh,chuyen nganh
9360,Tổng hợp Hà Nội,tong hop ha noi,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9361,Học viện Công nghệ Bưu chính Viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Chuyên ngành,chuyen nganh,chuyen nganh
9362,Đại học vui vẻ USA,dai hoc vui ve usa,dai hoc vui ve usa,Chuyên ngành,chuyen nganh,chuyen nganh
9363,đại học công nghiệp,dai hoc cong nghiep,dai hoc cong nghiep hcm,"hoá hữu cơ , kinh doanh",hoa huu co kinh doanh,hoa huu co kinh doanh
9364,đại học công nghiệp,dai hoc cong nghiep,dai hoc cong nghiep hcm,"hoá học , kinh doanh",hoa hoc kinh doanh,hoa hoc
9365,cao đẳng nghề việt đứckhá,cao dang nghe viet duckha,cao dang nghe viet duckha,điện tử công nghiệp,dien tu cong nghiep,dien tu cong nghiep
9366,Southwest Jiaotong University,southwest jiaotong university,southwest jiaotong university,Chuyên ngành,chuyen nganh,chuyen nganh
9367,Đại học kiến trúc tphcm,dai hoc kien truc hcm,dai hoc kien truc hcm,kiến trúc công trình,kien truc cong trinh,kien truc cong trinh
9368,Dai Hoc Cong Nghiep tphcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9369,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,CN Kỹ thuật hóa học,cn ky thuat hoa hoc,ky thuat hoa hoc
9370,Đại Học Hàng Không (Ăn Hàng + Ở Không),dai hoc hang khong,dai hoc hang khong,Chuyên ngành,chuyen nganh,chuyen nganh
9371,cao dang du lich ha noi,cao dang du lich ha noi,cao dang du lich ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9372,Trung học phổ thông B Phủ Lý,trung hoc pho thong b phu ly,trung hoc pho thong b phu ly,Chuyên ngành,chuyen nganh,chuyen nganh
9373,THCS Đặng Trần Côn,trung hoc co so dang tran con,trung hoc co so dang tran con,Nhiếp ảnh,nhiep anh,nhiep anh
9374,The College Of Finance and Customs,the college of finance and customs,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9375,HUTECH - University of Technology,hutech university of technology,dai hoc cong nghe hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9376,Học Viện Hàng Không ----> ăn Hàng + ở Không ^^!,hoc vien hang khong > an hang + o khong ^^!,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9377,Tự Do,tu do,CannotFound,Tự do,tu do,tu do
9378,"ăN rỒi chƠi,chƠi rÒy ngỦ,ngỦ rÒy quẬy",an roi choi choi roy ngu ngu roy quay,CannotFound,Chuyên ngành,chuyen nganh,chuyen nganh
9379,Trường Đại học tự do,dai hoc tu do,dai hoc tu do,Chuyên ngành,chuyen nganh,chuyen nganh
9380,Gicuco,gicuco,CannotFound,Ăn rỒi cHƠi - CHơi rỒi nGủ - NgỦ dẬy rỒi Ăn :x,an roi choi choi roi ngu ngu day roi an :x,an roi choi choi roi ngu ngu day roi an :x
9381,Trường Đại học Quốc gia Hà Nội,dai hoc quoc gia ha noi,dai hoc quoc gia ha noi,kinh Doanh nghiệp,kinh doanh nghiep,kinh doanh nong nghiep
9382,dai hoc kinh te ky thuat cong nghiep ha noi,dai hoc kinh te ky thuat cong nghiep ha noi,dai hoc kinh te ky thuat cong nghiep,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
9383,đại học hàng hải ,dai hoc hang hai,dai hoc hang hai,quản trị kinh doanh ,quan tri kinh doanh,quan tri kinh doanh
9384,Đại Học Chém Gió Xuyên Quốc Gia,dai hoc chem gio xuyen quoc gia,dai hoc chem gio xuyen quoc gia,Chuyên ngành,chuyen nganh,chuyen nganh
9385,THPT Hòa Bình,trung hoc pho thong hoa binh,trung hoc pho thong hoa binh,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9386,trung học an lạc,trung hoc an lac,trung hoc an lac,học sinh,hoc sinh,sinh hoc
9387,Ho Chi Minh City University of Social Sciences and Humanities,hcm university of social sciences and humanities,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,Khoa học thư viện,khoa hoc thu vien,khoa hoc thu vien
9388,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,dai hoc khoa hoc xa hoi nhan van hcm,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,"Hệ thống thông tin quản lý, Khoa học thư viện, Khoa học thông tin",he thong thong tin quan ly khoa hoc thu vien khoa hoc thong tin,he thong thong tin quan ly
9389,tt dạy nghề trường an,tt day nghe truong an,CannotFound,lái xe,lai xe,lai xe
