,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
1816,Foreign Trade University HCMC,foreign trade university hcm,dai hoc ngoai thuong,International Business,international business,kinh doanh quoc te
1817,Cao đẳng Kinh tế Đối ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Marketing thương mại,marketing thuong mai,marketing
1818,THPT Tân Bình,trung hoc pho thong tan binh,trung hoc pho thong tan binh,Phổ Thông,pho thong,pho thong
1819,Cao Đẳng Công Nghệ Thông Tin,cao dang cong nghe thong tin,cao dang cong nghe thong tin hcm,Tin học thiết kế Web,tin hoc thiet ke web,tin hoc thiet ke web
1820,đại học mỏ địa chất,dai hoc mo dia chat,dai hoc mo dia chat,khai thác hầm lò,khai thac ham lo,khai thac ham lo
1821,đại học tài chính-marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,marketing,marketing,marketing
1822,Trung Cấp Du Lịch và Khách Sạn Saigontourist,trung cap du lich khach san saigontourist,CannotFound,Quản lý và Kinh doanh Khách sạn,quan ly kinh doanh khach san,quan ly kinh doanh khach san
1823,Aprotrain Aptech,aprotrain aptech,CannotFound,Lập trình viên quốc tế,lap trinh vien quoc te,lap trinh vien quoc te
1824,Đại học Dược Hà Nội,dai hoc duoc ha noi,dai hoc duoc ha noi,Quản lý kinh tế Dược,quan ly kinh te duoc,quan ly kinh te
1825,hồng bàng,hong bang,CannotFound,quản trị kinh doanh nhà hàng khách sạn bar resort,quan tri kinh doanh nha hang khach san bar resort,quan tri kinh doanh
1826,ĐẠI HỌC KINH TẾ TPHCM,dai hoc kinh te hcm,dai hoc kinh te hcm,QUẢN TRỊ KINH DOANH TỔNG HỢP,quan tri kinh doanh tong hop,quan tri kinh doanh
1827,Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Accounting ,accounting,accounting
1828,Đại học Kinh Doanh & Công Nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Du Lịch,du lich,du lich
1829,đại học khoa học xã hội & nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,Thông tin học,thong tin hoc,thong tin hoc
1830,Đại học Kinh tế - Tài chính Tphcm,dai hoc kinh te tai chinh hcm,dai hoc kinh te tai chinh hcm,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
1831,đại học Phương Đông,dai hoc phuong dong,dai hoc phuong dong,Kiến trúc,kien truc,kien truc
1832,trường đại học lạc hồng,dai hoc lac hong,dai hoc lac hong,công nghệ hoá- thực phẩm,cong nghe hoa thuc pham,cong nghe thuc pham
1833,Đại Học Công Nghệ GIao Thông Vận Tải,dai hoc cong nghe giao thong van tai,dai hoc cong nghe giao thong van tai,Công Nghệ KTOT,cong nghe ktot,cong nghe ktot
1834,Sư Phạm Kỹ Thuật TPHCM,su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Điện Tử Công Nghệ Truyền Thông,dien tu cong nghe truyen thong,cong nghe truyen thong
1835,THPT Nguyễn Trãi,trung hoc pho thong nguyen trai,trung hoc pho thong nguyen trai,0,0,0
1836,Arena Multimedia College,arena multimedia college,CannotFound,Advanced Diploma in Multimedia,advanced diploma in multimedia,advanced diploma in multimedia
1837,Đại học Sài Gòn,dai hoc sai gon,dai hoc sai gon, Kế toán,ke toan,ke toan
1838,Đại học Mở TP Hồ Chí Minh,dai hoc mo hcm,dai hoc mo hcm,0,0,0
1839,đại học bách khoa hà nội,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,hệ thống điện,he thong dien,he thong dien
1840,Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,0,0,0
1841,Đại học Sư phạm Thái Nguyên,dai hoc su pham thai nguyen,dai hoc su pham thai nguyen,0,0,0
1842,Đại Học Y Hà Nội,dai hoc y ha noi,dai hoc y ha noi,0,0,0
1843,THPT Núi Thành,trung hoc pho thong nui thanh,trung hoc pho thong nui thanh,0,0,0
1844,Đại học Cần Thơ,dai hoc can tho,dai hoc can tho,0,0,0
1845,cao dang KTKH Da nang,cao dang ktkh da nang,cao dang ktkh da nang,Kế toan,ke toan,ke toan
1846,trung hoc pho thong ke sach ,trung hoc pho thong ke sach,trung hoc pho thong ke sach,k chuyen nganh,k chuyen nganh,chuyen nganh
1847,Cao đẳng thương mại và du lịch Hà Nội,cao dang thuong mai du lich ha noi,cao dang thuong mai du lich ha noi,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1848,Đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1849,Học viện Quản lý giáo dục - NAEM ,hoc vien quan ly giao duc naem,hoc vien quan ly giao duc,Kinh tế giáo dục,kinh te giao duc,kinh te
1850,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc Gia TP.HCM,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia hcm,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,Ngữ văn Trung Quốc,ngu van trung quoc,ngu van trung quoc
1851,​RMIT University Hanoi ,rmit university hanoi,dai hoc ha noi,Bachelor of Commerce,bachelor of commerce,bachelor of commerce
1852,Trường ĐH Kinh tế TP. Hồ Chí Minh - UEH,dai hoc kinh te hcm ueh,dai hoc kinh te hcm,0,0,0
