raw,new,score
"Troy University (USA) - School of International Education, Hanoi University of Science and Technology, Hanoi (Vietnam) ",troy university school of international education  hanoi university of science and technology  hanoi ,81
đại học kiến trúc đà nẵng,dai hoc kien truc da nang,68
Đại học Khoa học tự nhiên,dai hoc khoa hoc tu nhien,72
Đại học Khoa học tự nhiên,dai hoc khoa hoc tu nhien,72
Đại học Công Nghệ - ĐHQGHN,dai hoc cong nghe    dai hoc  quoc gia ha noi,34
Đại học Công Nghệ - ĐHQGHN,dai hoc cong nghe    dai hoc  quoc gia ha noi,34
Học viện Công nghệ Bưu chính Viễn thông,hoc vien cong nghe buu chinh vien thong,69
Đại học Tài Chính - Marketing,dai hoc tai chinh   marketing,69
BMG International Education,bmg international education,81
cao đẳng điện lực miền trung,cao dang dien luc mien trung,79
Trường đào tạo lái xe SAIGON,dao tao lai xe saigon,45
Đại học Thương mại,dai hoc thuong mai,61
đại học lâm nghiệp,dai hoc lam nghiep,72
học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,83
Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,63
Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,63
vượt qua sóng gió,vuot qua song gio,76
ĐH Ngân hàng TP. HCM, dai hoc  ngan hang   hcm,40
Đại học Bình Dương,dai hoc binh duong,56
đại học Tôn Đức Thắng,dai hoc ton duc thang,61
kinh tế quốc dân,kinh te quoc dan,81
Đại Học Ngoại Ngữ,dai hoc ngoai ngu,53
Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,58
đại học điện lực,dai hoc dien luc,62
Học viện Ngoại giao Việt Nam (DAV),hoc vien ngoai giao viet nam ,67
"THPT Chuyên Lê Hồng Phong, Nam Định",thpt chuyen le hong phong  nam dinh,57
Thang Long University,thang long university,86
Đại học sư phạm thành phố Hồ Chí Minh,dai hoc su pham   hcm,48
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,66
Học viện CN Bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,62
Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,67
đại học luật,dai hoc luat,67
Thpt Hác dich,thpt hac dich,77
Trường Đại học Nha Trang,dai hoc nha trang,59
Cao Đẳng Giao Thông Vận Tải 3,cao dang giao thong van tai 3,66
đại học công nghiệp,dai hoc cong nghiep,74
Bình Dương University,binh duong university,71
Trường DH kinh tế Quốc dân, dai hoc  kinh te quoc dan,54
đại học y thái bình ,dai hoc y thai binh,72
Chuyên Khoa Học Tự Nhiên,chuyen khoa hoc tu nhien,62
Hotel Insitute Montreux,hotel insitute montreux,87
thcs bình sơn,thcs binh son,85
Danang University of Economics,danang university of economics,90
Viet Nam National University Of Agriculture,viet nam national university of agriculture,86
Fpt university,fpt university,93
trường đại học võ trường toản,dai hoc vo truong toan,59
ĐH tài chính kế toán HN, dai hoc  tai chinh ke toan ha noi,53
Tây Nguyên University,tay nguyen university,76
ĐH Huế, dai hoc  hue,21
Đại học Ngoại Thương,dai hoc ngoai thuong,60
Đại học Ngoại Thương,dai hoc ngoai thuong,60
vạn xuân,van xuan,75
cao đẳng kinh tế công nghệ Hồ chí minh,cao dang kinh te cong nghe hcm,71
Hanoi Univercity,hanoi univercity,88
tôn đức thắng university,ton duc thang university,83
Đại Học Sư Phạm Kỹ Thuật Hưng Yên,dai hoc su pham ky thuat hung yen,52
Đại học FPT,dai hoc fpt,45
Hult international Business School,hult international business school,91
Trường Đại Học Kinh Tế Tp.HCM,dai hoc kinh te  hcm,37
ĐH Công Nghệ Thực Phẩm, dai hoc  cong nghe thuc pham,47
Cao Đẳng Nguyễn Văn Trỗi,cao dang nguyen van troi,62
ĐH công nghiệp thực phẩm, dai hoc  cong nghiep thuc pham,65
Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,58
Đại học Kinh tế Quốc Dân,dai hoc kinh te quoc dan,62
Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,58
Viện nghiên cứu Borstel,vien nghien cuu borstel,78
Cao đẳng công nghiệp Hà Nội - khoa điện tử,cao dang cong nghiep ha noi   khoa dien tu,69
cao đẳng điện tử điện lạnh hà nội,cao dang dien tu dien lanh ha noi,70
University of Economics HCMC,university of economics hcm,80
UNsw,unsw,50
Đại học Thể dục thể thao ,dai hoc the duc the thao,69
đại học quốc tế Hồng Bàng ,dai hoc quoc te hong bang,63
Khoa ngoại ngữ- Đại học Thái Nguyên,khoa ngoai ngu  dai hoc thai nguyen,69
ĐH Mỏ Địa Chất, dai hoc  mo dia chat,34
ĐH Kinh tế Quốc dân, dai hoc  kinh te quoc dan,53
cao đẳng du lịch hà nội,cao dang du lich ha noi,78
Đại học Kinh tế Huế,dai hoc kinh te hue,63
Cao Đẳng Công Nghệ_ Đại Học Đà Nẵng,cao dang cong nghe  dai hoc da nang,54
Đại học kinh tế Đà Nẵng,dai hoc kinh te da nang,65
Đại học khoa học công nghệ Lille 1,dai hoc khoa hoc cong nghe lille 1,79
"Đại học tổng hợp Saint-Petersburg, LB Nga",dai hoc tong hop saint petersburg  lb nga,71
Đại học giao thông vận tải,dai hoc giao thong van tai,77
Đại học công nghệ giao thông vận tải,dai hoc cong nghe giao thong van tai,78
Học viện tài chính,hoc vien tai chinh,72
University of Sunderland,university of sunderland,92
