school_name,specialization
"trường đại học tây nguyên","tài chính ngân hàng"
"thpt bình phú","học sinh"
"thpt bình phú","học sinh"
"thpt bình phú","học sinh"
"FPT University",Marketing
"Fpt Polytechnic",Marketing
"thpt trần hưng đạo",thpt
"Đại học Hà Nội, Đại học Ngoại Thương","Tiếng Anh, Kinh tế đối ngoại"
"Đại học Sài Gòn","Quản trị kinh doanh"
"University of Economics HCM city","Financial And Banking"
"đh văn hiến","tài chính ngân hàng"
"University of Sunderland","Quản trị kinh doạn"
"học viện tài chính","tài chính ngân hàng"
"Trường trung cấp Đà Nẵng","Nhà Hàng - Khách Sạn"
"Đại Học Lạc Hồng","Công Nghệ Hóa Thực Phẩm"
"ĐH Xây Dựng Hà Nội","Khoa Kiến Trúc"
"ĐH BÌNH DƯƠNG","kiến trúc"
"ĐH BÌNH DƯƠNG","kiến trúc"
"ĐH BÌNH DƯƠNG","kiến trúc"
"da nghi hoc","da nghi hoc"
"CAO ĐẲNG CÔNG NGHIỆP QUỐC PHÒNG","TRUNG CẤP CƠ KHÍ"
"Trường Đại Học Y Dược Huế","Dược Sĩ"
"Đại Học Cửu Long","Công nghệ thực phẩm"
"Đại Học Cần Thơ","Văn bằng 2 chuyên ngành Luật"
"Đại học Kinh doanh và công nghệ Hà Nội","Công nghệ thông tin"
"đại học xây dựng","dân dụng và công nghiệp"
"Nguyen Tat Thanh University","Quản trị kinh doanh"
"Đại học Giao thông vận tải","Vận tải đa phương thức"
"hướng nghiệp Á Âu","chuyên bánh Âu"
"trường Giao thông Vận tải 3","lái xe hạng B2"
"Đại học bách khoa Đà Nẵng","Kĩ thuật Điện-Điện Tử"
"học viện báo chí và tuyên truyền","quảng cáo"
"Đại học thương mại","kế toán"
"Trường Cao Đẳng Thương Mại - Đà Nẵng","Marketing thương mại"
"cao đẳng xây dựng số 2","kế toán"
"Trường đại học Ngoại ngữ - Tin học Tp.Hcm","Quan hệ công chúng"
"DHXD Miền Tây","Kiến trúc sư"
"Đại học kinh tế quốc dân","Kinh tế kế hoạch"
"đại học công nghiệp, đại học kinh tế","kế toán, tài chính doanh nghiệp"
"Đại học sư phạm hà nội","sư phạm tiếng Pháp"
"THPT Phạm Hồng Thái","khối ngoại ngữ"
"cao đẳng nghề du lịch Đà Nẵng","quản trị nhà hàng"
"đại học kiến trúc hà nội","kiến trúc công trình"
"Đại học công nghiệp Tp.HCM","Kế toán - Kiểm toán"
"Đại Học Hoa Sen","Quản trị Kinh doanh"
"Đại Học Hoa Sen","Quản trị Kinh doanh"
"Đại học Ngoại Thương","Quản trị kinh doanh"
"Đại học kinh tế kỹ thuật công nghiệp","Kế toán"
"đại học công nghiệp thành phố hồ chí minh","kế toán"
"Viet Uc College","Đồ họa mỹ thuật đa phương tiện"
"đh kinh tế quốc dân","kinh tế đầu tư"
"Trường Đại học Hà Nội","Ngôn ngữ Anh"
"đại học Hà Nội","ngôn ngữ Trung Quốc"
"Trường Đại học Lao động-Xã hội CSII","Quản trị kinh doanh"
"trung học phổ thông Hoàng Diệu","vật lý"
"Đại Học Khoa Học Tự Nhiên Hà Nội","Hóa Dược"
"Colledge of Finance & Customs","Kinh doanh thương mại - xuất nhập khẩu"
"Cao ĐẲNG Nghề SAIGON","kế toán tài chính doanh nghiệp"
"ĐH Bách Khoa Hà Nội","Công nghệ thông tin"
FSB,"Thạc sĩ Quản trị Kinh doanh"
"Đại học Thủy Lợi","Thủy văn học"
"THPT Lý Tự Trọng","Cấp 3"
"Trung cấp Công Nghệ Thú Y TP.HCM","Thú Y"
"đại học thuỷ lơi","công nghệ thông tin"
"Nanyang Technology University","Digital Animation"
"đại học sư phạm hà nội","sư phạm địa lí"
"Trường GTVT 2","Giao thông vận tải"
"Đại Học Thương Mại","Kinh tế Thương Mại"
"Đại học Công Nghiệp","Công nghệ thông tin"
"Kinh doanh công nghệ Hà Nội","Ngôn ngữ anh"
"hv công nghệ bưu chính viễn thông","công nghệ thông tin"
"Đại học Bà Rịa - Vũng Tàu, Tp. Vũng Tàu","Công Nghệ Kỹ Thuật Hóa Học"
"Đại học Tôn Đức Thắng","Khoa học máy tính"
"Học viện Ngân hàng","Tài chính - Ngân hàng"
"Đại học Luật Hà Nội","Luật học"
"đại học hà nội","công nghệ thông tin"
"Đại Học Công Nghiệp Hà Nội","Quản Trị Kinh Doanh"
"trung cấp tổng hợp Đông Nam Á","kinh doanh xuất nhập khẩu"
"đại học thắng long","tài chính ngân hàng"
"Đại học Mở Tp HCM","hệ thống thông tin quản lý"
"Trường Đại học Kinh tế - Luật","Quản trị kinh doanh"
"Đại học Kiến Trúc Đà Nẵng","Kế toán"
"Viện Đại học Mở Hà Nội","quản trị kinh doanh"
"ĐH Khoa học xã hội và Nhân văn","Khoa Văn học"
"Đại học ngoại ngữ - ĐHQGHN","Ngôn ngữ Nga"
"trung cấp y tế","điều dưỡng đa khoa"
"cao đẳng xây dựng số 2","công nghệ kĩ thuật công trình giao thông"
"Đại học Mở","Kế toán"
