,school,major,example_school,data_school,example_major,data_major
7761,gia định,công nghệ thông tin,cao dang su pham trung uong,dai hoc gia dinh,giao duc mam non,cong nghe thong tin
7762,trường đại học nguyễn tất thành,dược sĩ trung capa,dai hoc luat ha noi,dai hoc nguyen tat thanh,luat,duoc si trung capa
7763,truong pho thong trung hoc cu chinh lan,pho thong,dai hoc van hien,pho thong trung hoc cu chinh lan,nhat ban hoc,pho thong
7764,Đi sự phạm TP HCM,công nghệ thông tin,dai hoc van hien,CannotFound,quan tri kinh doanh,cong nghe thong tin
7765,trường đại học đông á đà nẵng,quản trị kinh doanh,dai hoc su pham hcm,dai hoc da nang,ngon ngu anh,quan tri kinh doanh
7766,trường đại học nguyễn tất thành,dược sĩ trung cấp,dai hoc giao thong van tai,dai hoc nguyen tat thanh,kinh te van tai,duoc si trung cap
7767,trường đại học nguyễn tất thành,dượ sĩ,dai hoc giao thong van tai,dai hoc nguyen tat thanh,kinh te van tai,duo si
7768,Nguyễn thái học,trung cấp y tế tay ninh,trung hoc pho thong,CannotFound,hoc sinh,trung cap y te tay ninh
7769,trung cấp bách khoa bình dương,dược sỹ,cao dang dai viet sai gon,CannotFound,ke toan,duoc sy
7770,Đại học Tôn Đức Thắng,Quan hệ Lao động,cao dang kinh te hcm,dai hoc ton duc thang,ke toan,quan he lao dong
7771,Cao đẳng Công nghệ Thủ Đức,Kế toán,dai hoc nguyen tat thanh,cao dang cong nghe thu duc,quan tri kinh doanh,ke toan
7772,Đại học công nghệ TPHCM,QTKD,dai hoc thanh tay,dai hoc cong nghe hcm,ky thuat xay dung cong trinh thuy,qtkd
7773,đại học công nghiệp Tp.HCM,cơ khí ô tô,cao dang van hoa nghe thuat du lich sai gon,dai hoc cong nghiep hcm,quan tri kinh doanh,co khi o to
7774,Đại học công nghệ,Quản trị mạng,dai hoc cong nghe hcm,dai hoc cong nghe hcm,quoc te hoc,quan tri mang
7775,Kainan University (Taiwan),Business Administration,dai hoc cong nghe hcm,kainan university,quoc te hoc,quan tri kinh doanh
7776,Đại học Tài Chính - Marketing,Ngân hàng,dai hoc hung vuong,dai hoc tai chinh marketing,du lich,tai chinh ngan hang
7777,Arena,thiết kế đồ hoạ,dai hoc cong nghe hcm,CannotFound,quan tri kinh doanh,thiet ke do hoa
7778,cao đăng nghề cơ khí nông nghiêp 1 trung ương,điện,dai hoc quoc te hong bang,cao dang co khi nong nghiep,ke toan,ky thuat dien
7779,Dai Hoc Quy Nhon,Kinh Te Tai Chinh Ke Toan,dai hoc can tho,dai hoc quy nhon,quan ly tai nguyen moi truong,kinh te tai chinh ke toan
7780,Đại học Tiền Giang,Công nghệ thông tin,dai hoc bach khoa dai hoc da nang,dai hoc tien giang,ky thuat thuc pham,cong nghe thong tin
7781,Trường Đại học Thủy Lợi,Kế toán xây dựng,cao dang nghe phu chau,dai hoc thuy loi,he thong dien,ke toan
7782,đại học thuỷ lợi cơ sở 2,xây dựng,cao dang nghe an giang,dai hoc thuy loi,dien cong nghiep,quan ly xay dung
7783,Cao đẳng sư phạm trung ương,giáo dục mầm non,cao dang viet my,cao dang su pham trung uong,quan tri khach san,giao duc mam non
7784,Đại học Luật Hà Nội,Luật học,cao dang su pham ha nam,dai hoc luat ha noi,khoa hoc moi truong,luat hoc
7785,học tiếng nhật,học tieng nhật,dai hoc su pham ky thuat vinh,CannotFound,ky thuat dien tu vien thong,hoc tieng nhat
7786,dai hoc van hien,quan tri kinh doanh,cao dang cong thuong hcm,dai hoc van hien,cong nghe thuc pham,quan tri kinh doanh
7787,đại học sư phạm tphcm,ngôn ngữ anh,cao dang nghe cong nghe thong tin ispace,dai hoc su pham hcm,quan tri mang may tinh,ngon ngu anh
7788,đại học giao thông vận tải,kinh tế vận tải biển,dai hoc an giang dai hoc quoc gia hcm,dai hoc giao thong van tai,tai chinh ngan hang,kinh te van tai
7789,đại học giao thông vận tải,kinh tế vận tải biển,dai hoc khoa hoc tu nhien hcm,dai hoc giao thong van tai,ky thuat phan mem,kinh te van tai
7790,THPT Lê Ngọc Hân,học sinh,trung hoc co so,trung hoc pho thong le ngoc han,khoa hoc tinh toan,sinh hoc
7791,cao đẳng đại việt sài gòn,kế toán,dai hoc cong nghiep ha noi,cao dang dai viet sai gon,kiem toan,ke toan
7792,Cao Đẳng Kinh Tế TPHCM,Kế Toán,dai hoc luat hcm,cao dang kinh te hcm,quan tri kinh doanh,ke toan
7793,nguyễn tất thành,quản trị kinh doanh,trung hoc co so,dai hoc nguyen tat thanh,kinh te doi ngoai,quan tri kinh doanh
7794,đại học thành tây,kỹ thuật xây dựng công trình,dai hoc can tho,dai hoc thanh do,ke toan,ky thuat xay dung cong trinh bien
7795,trường cao đẳng văn hoá nghệ thuật và du lịch sàu gòn,Quản Trị kinh doanh,trung hoc co so,cao dang van hoa nghe thuat du lich sai gon,van hoc,quan tri kinh doanh
7796,đại học công nghệ thành phố hồ chí minh,Dược Quốc Tế,dai hoc quang trung,dai hoc cong nghe hcm,khoa hoc y sinh,duoc quoc te
7797,đại học công nghệ thành phố hồ chí minh,Dược Quốc Tế,cao dang kinh te doi ngoai,dai hoc cong nghe hcm,kinh doanh xuat nhap khau,duoc quoc te
7798,STHC,Du Lịch,dai hoc kinh te luat hcm,CannotFound,tai chinh ngan hang,du lich
7799,Đại Học Công Nghệ TPHCM,quản trị kinh doanh,dai hoc kinh doanh cong nghe ha noi,dai hoc cong nghe hcm,tai chinh ngan hang,quan tri kinh doanh
7800,hồng bàng,toán lý hóa,si quan khong quan,CannotFound,pho thong,toan ly hoa
7801,Đại Học Cần Thơ,Quản lí môi trường,dai hoc dien luc,dai hoc can tho,dien tu dong cong nghiep,quan ly tai nguyen moi truong
7802,Đại học Bách Khoa Đà Nẵng,Hóa thực phẩm,dai hoc bach khoa ha noi,dai hoc bach khoa da nang,ky thuat hang khong,hoa thuc pham
7803,cao đẳng nghề phú châu,hệ thống điện,dai hoc su pham hcm,cao dang phu chau,su pham tin hoc,he thong dien
7804,cao dang cong nghe giay va co dien,dien cong nghiep,dai hoc hue,cao dang nghe cong nghe giay co dien,pho thong,dien cong nghiep
7805,cao đẳng Việt Mỹ,quản trị khách sạn,dai hoc ngoai ngu tin hoc hcm,cao dang viet my,kinh doanh quoc te,quan tri khach san
7806,cao dang su pham,giao vien mam non,dai hoc rmit,cao dang su pham nghe an,lich su,giao vien mam non
